Reaction Date,Reaction Type,Parent Type,Parent ID
"Aug 31, 2019, 2:10:17 PM",Kudos,Activity,2667477990
"Aug 31, 2019, 10:00:42 PM",Kudos,Activity,2668624684
"Aug 31, 2019, 10:01:08 PM",Kudos,Activity,2668677530
"Aug 31, 2019, 10:01:13 PM",Kudos,Activity,2668348757
"Aug 31, 2019, 10:01:16 PM",Kudos,Activity,2668322287
"Aug 31, 2019, 10:01:50 PM",Kudos,Activity,2668305547
"Aug 31, 2019, 10:02:16 PM",Kudos,Activity,2668080436
"Aug 31, 2019, 10:03:12 PM",Kudos,Activity,2667988211
"Sep 1, 2019, 3:59:35 PM",Kudos,Activity,2669258153
"Sep 1, 2019, 8:17:57 PM",Kudos,Activity,2671428710
"Sep 1, 2019, 8:17:59 PM",Kudos,Activity,2671456383
"Sep 1, 2019, 8:19:12 PM",Kudos,Activity,2671224736
"Sep 2, 2019, 11:09:53 PM",Kudos,Activity,2674517298
"Sep 7, 2019, 10:29:29 PM",Kudos,Activity,2688552510
"Sep 7, 2019, 10:30:03 PM",Kudos,Activity,2688404798
"Sep 7, 2019, 10:31:50 PM",Kudos,Activity,2687909939
"Sep 9, 2019, 2:09:29 PM",Kudos,Activity,2693093093
"Sep 11, 2019, 11:38:27 AM",Kudos,Activity,2697008258
"Sep 14, 2019, 9:09:20 PM",Kudos,Activity,2708034177
"Sep 19, 2019, 7:22:30 PM",Kudos,Activity,2722542990
"Sep 21, 2019, 8:04:05 PM",Kudos,Activity,2728532247
"Sep 21, 2019, 8:04:56 PM",Kudos,Activity,2727822597
"Sep 21, 2019, 10:45:43 PM",Kudos,Activity,2728418583
"Sep 29, 2019, 9:15:36 PM",Kudos,Activity,2750032159
"Sep 29, 2019, 9:15:41 PM",Kudos,Activity,2749865961
"Sep 29, 2019, 9:16:24 PM",Kudos,Activity,2749302162
"Sep 30, 2019, 12:13:22 AM",Kudos,Activity,2750764510
"Sep 30, 2019, 12:13:26 AM",Kudos,Activity,2750776550
"Sep 30, 2019, 3:47:42 AM",Kudos,Activity,2750977236
"Sep 30, 2019, 3:47:51 AM",Kudos,Activity,2750992151
"Oct 3, 2019, 1:38:48 PM",Kudos,Activity,2759435061
"Oct 3, 2019, 1:42:01 PM",Kudos,Activity,2758093224
"Oct 6, 2019, 2:14:58 PM",Kudos,Activity,2766881105
"Oct 6, 2019, 2:15:35 PM",Kudos,Activity,2766244644
"Oct 6, 2019, 10:08:47 PM",Kudos,Activity,2768838541
"Oct 6, 2019, 10:08:53 PM",Kudos,Activity,2768538425
"Oct 6, 2019, 10:09:18 PM",Kudos,Activity,2767862592
"Oct 6, 2019, 10:09:22 PM",Kudos,Activity,2767811665
"Oct 6, 2019, 10:12:44 PM",Kudos,Activity,2768910095
"Oct 13, 2019, 10:06:37 PM",Kudos,Activity,2786349542
"Oct 13, 2019, 10:07:17 PM",Kudos,Activity,2786267388
"Oct 13, 2019, 10:30:00 PM",Kudos,Activity,2787084572
"Oct 14, 2019, 11:52:40 PM",Kudos,Activity,2789133295
"Oct 14, 2019, 11:53:05 PM",Kudos,Activity,2789078103
"Oct 15, 2019, 2:00:36 PM",Kudos,Activity,2790743830
"Oct 15, 2019, 7:28:52 PM",Kudos,Activity,2790869127
"Oct 16, 2019, 1:33:12 PM",Kudos,Activity,2793105428
"Oct 16, 2019, 1:33:49 PM",Kudos,Activity,2791894277
"Oct 16, 2019, 5:36:09 PM",Kudos,Activity,2793617077
"Oct 17, 2019, 9:00:38 PM",Kudos,Activity,2796790707
"Oct 17, 2019, 9:28:01 PM",Kudos,Activity,2796752040
"Oct 17, 2019, 9:28:16 PM",Kudos,Activity,2796181762
"Oct 18, 2019, 2:16:27 PM",Kudos,Activity,2798005268
"Oct 19, 2019, 3:09:29 PM",Kudos,Activity,2800428108
"Oct 19, 2019, 3:09:33 PM",Kudos,Activity,2800154956
"Oct 19, 2019, 3:09:36 PM",Kudos,Activity,2799957227
"Oct 19, 2019, 3:10:56 PM",Kudos,Activity,2799043396
"Oct 19, 2019, 11:41:30 PM",Kudos,Activity,2801705939
"Oct 19, 2019, 11:43:25 PM",Kudos,Activity,2801027300
"Oct 20, 2019, 10:22:47 PM",Kudos,Activity,2804674776
"Oct 20, 2019, 10:22:48 PM",Kudos,Activity,2804563853
"Oct 20, 2019, 10:24:23 PM",Kudos,Activity,2803858966
"Oct 23, 2019, 5:22:57 PM",Kudos,Activity,2811283530
"Oct 25, 2019, 3:02:03 PM",Kudos,Activity,2815850425
"Oct 25, 2019, 3:02:37 PM",Kudos,Activity,2815422936
"Oct 27, 2019, 12:23:35 AM",Kudos,Activity,2819385694
"Oct 27, 2019, 12:26:07 AM",Kudos,Activity,2819312721
"Oct 27, 2019, 12:26:13 AM",Kudos,Activity,2819147617
"Oct 27, 2019, 4:50:49 PM",Kudos,Activity,2821414089
"Oct 28, 2019, 8:08:39 PM",Kudos,Activity,2824077130
"Oct 28, 2019, 8:08:46 PM",Kudos,Activity,2823844351
"Nov 2, 2019, 8:46:45 PM",Kudos,Activity,2835624778
"Nov 15, 2019, 2:08:22 PM",Kudos,Activity,2866336834
"Nov 17, 2019, 1:09:32 AM",Kudos,Activity,2869855605
"Nov 17, 2019, 1:10:54 AM",Kudos,Activity,2869381323
"Nov 17, 2019, 1:12:07 AM",Kudos,Activity,2869695731
"Nov 17, 2019, 9:39:05 PM",Kudos,Activity,2872395290
"Nov 17, 2019, 9:40:17 PM",Kudos,Activity,2872255840
"Nov 17, 2019, 9:41:40 PM",Kudos,Activity,2872535901
"Nov 24, 2019, 9:53:12 PM",Kudos,Activity,2886912621
"Nov 29, 2019, 9:55:58 PM",Kudos,Activity,2899514567
"Dec 21, 2019, 2:45:37 PM",Kudos,Activity,2946842494
"Dec 21, 2019, 2:45:38 PM",Kudos,Activity,2946843523
"Dec 23, 2019, 10:48:35 PM",Kudos,Activity,2951592393
"Dec 24, 2019, 3:04:03 PM",Kudos,Activity,2953573254
"Jan 2, 2020, 8:48:50 PM",Kudos,Activity,2976564774
"Jan 4, 2020, 2:06:22 PM",Kudos,Activity,2980987513
"Jan 4, 2020, 2:17:21 PM",Kudos,Activity,2979960327
"Jan 12, 2020, 3:10:08 PM",Kudos,Activity,3004827279
"Jan 12, 2020, 9:14:54 PM",Kudos,Activity,3005953950
"Jan 14, 2020, 1:16:51 AM",Kudos,Activity,3008377569
"Jan 17, 2020, 12:27:56 PM",Kudos,Activity,3016282106
"Jan 24, 2020, 11:48:51 PM",Kudos,Activity,3039620121
"Jan 24, 2020, 11:49:52 PM",Kudos,Activity,3039028411
"Jan 28, 2020, 6:38:52 PM",Kudos,Activity,3048547170
"Feb 29, 2020, 2:26:07 PM",Kudos,Activity,3141638632
"Mar 6, 2020, 1:50:29 AM",Kudos,Activity,3157464880
"Mar 11, 2020, 9:55:58 PM",Kudos,Activity,3174773011
"Mar 11, 2020, 9:56:09 PM",Kudos,Activity,3174309082
"Mar 11, 2020, 9:56:16 PM",Kudos,Activity,3174985453
"Mar 11, 2020, 9:56:53 PM",Kudos,Activity,3175162009
"Mar 11, 2020, 9:56:57 PM",Kudos,Activity,3174681174
"Mar 14, 2020, 8:19:57 PM",Kudos,Activity,3182108242
"Mar 14, 2020, 9:52:19 PM",Kudos,Activity,3183432890
"Mar 21, 2020, 4:05:26 PM",Kudos,Activity,3201644303
"Mar 21, 2020, 6:20:55 PM",Kudos,Activity,3204084115
"Mar 28, 2020, 6:10:00 PM",Kudos,Activity,3228344250
"Mar 29, 2020, 6:41:43 PM",Kudos,Activity,3232403113
"Mar 31, 2020, 4:59:08 PM",Kudos,Activity,3238243581
"Apr 1, 2020, 2:23:20 PM",Kudos,Activity,3239568009
"Apr 2, 2020, 1:59:52 PM",Kudos,Activity,3244450530
"Apr 4, 2020, 8:39:10 PM",Kudos,Activity,3255433793
"Apr 4, 2020, 9:43:47 PM",Kudos,Activity,3255596513
"Apr 6, 2020, 10:36:31 PM",Kudos,Activity,3263386118
"Apr 7, 2020, 7:21:38 PM",Kudos,Activity,3267709568
"Apr 7, 2020, 8:01:00 PM",Kudos,Activity,3268329584
"Apr 8, 2020, 9:33:15 PM",Kudos,Activity,3271799496
"Apr 8, 2020, 9:33:37 PM",Kudos,Activity,3272717963
"Apr 8, 2020, 9:35:30 PM",Kudos,Activity,3271561589
"Apr 8, 2020, 9:35:49 PM",Kudos,Activity,3268505210
"Apr 8, 2020, 10:52:49 PM",Kudos,Activity,3273165602
"Apr 9, 2020, 1:41:18 PM",Kudos,Activity,3275208417
"Apr 10, 2020, 6:54:40 PM",Kudos,Activity,3280381564
"Apr 10, 2020, 6:55:09 PM",Kudos,Activity,3280368250
"Apr 11, 2020, 7:03:58 PM",Kudos,Activity,3285898574
"Apr 11, 2020, 7:04:42 PM",Kudos,Post,2552474
"Apr 11, 2020, 7:05:35 PM",Kudos,Activity,3285897381
